,서울,경기
2003년 11월,0.5364081884659168,0.5241331858036802
2003년 12월,0.5325493449613151,0.5206185087727454
2004년 01월,0.5311215728646125,0.5177268035965001
2004년 02월,0.5332439367921433,0.5182846888395056
2004년 03월,0.5354724189160509,0.519539930636268
2004년 04월,0.5372571340369291,0.5206371049475123
2004년 05월,0.5375465472997742,0.5195213344615013
2004년 06월,0.5362055991819252,0.5168806776446085
2004년 07월,0.5346813559976075,0.5138495011576119
2004년 08월,0.5317196936078257,0.5107718342336981
2004년 09월,0.5298095660730479,0.5084008219509246
2004년 10월,0.5275424955140944,0.50624366567797
2004년 11월,0.5252754249551409,0.5024779402876828
2004년 12월,0.5227478824596268,0.49975360068433916
2005년 01월,0.5211464624052171,0.4977266176347525
2005년 02월,0.5242431843176599,0.5003300821021116
2005년 03월,0.5258349572633082,0.5032217872783569
2005년 04월,0.5292307395473577,0.5062715599401203
2005년 05월,0.5322695788072315,0.5097676407962882
2005년 06월,0.5382700804568871,0.517568736110982
2005년 07월,0.5447625846533793,0.5250536964546393
2005년 08월,0.5469235370159563,0.5273503240383453
2005년 09월,0.5489783711821566,0.5284939887865066
2005년 10월,0.5490362538347258,0.5278338245822835
2005년 11월,0.5503000250824828,0.5270806795042259
2005년 12월,0.5522969765961141,0.5279639978056513
2006년 01월,0.5554805224874105,0.5300281732047717
2006년 02월,0.5594165428621042,0.5335149559735561
2006년 03월,0.5656196337957514,0.5381639996652688
2006년 04월,0.5741380308321596,0.5450724785911538
2006년 05월,0.5822416021918231,0.555551423072274
2006년 06월,0.586659978004592,0.5616602664831843
2006년 07월,0.5890428138686835,0.5649052989799997
2006년 08월,0.591059059599838,0.5681968219137323
2006년 09월,0.5971656794458701,0.5750216180531664
2006년 10월,0.6091666827451813,0.5919348390036169
2006년 11월,0.6370661212834514,0.6322978363350659
2006년 12월,0.6564471627853133,0.6570214506875935
2007년 01월,0.6701653514441722,0.6727724107151158
2007년 02월,0.6759343224835517,0.680080707398488
2007년 03월,0.680343051187559,0.6843020390705632
2007년 04월,0.6843466013235834,0.6873239174701764
2007년 05월,0.6860541395743696,0.6886814382281563
2007년 06월,0.6893245094445194,0.6906991231903598
