,서울,경기
2003년 11월,0.5409997178137376,0.5004771083417622
2003년 12월,0.5324173632126419,0.4937594228897498
2004년 01월,0.5291576253539492,0.4902574476612149
2004년 02월,0.5299068785334098,0.49135479684726807
2004년 03월,0.530811820685226,0.4938643867249375
2004년 04월,0.5304517899366541,0.49439874806771117
2004년 05월,0.5277369634812054,0.49291017004141296
2004년 06월,0.5210520682306922,0.48777648428405124
2004년 07월,0.5157781042921503,0.48234699135479686
2004년 08월,0.5099203067072755,0.4746273783850837
2004년 09월,0.5055610154813222,0.4709536441535143
2004년 10월,0.5019412468740574,0.4676329700948491
2004년 11월,0.49642401891621013,0.46108704364587105
2004년 12월,0.4909067909583629,0.4556766350502872
2005년 01월,0.48695618328484264,0.45248955132731544
2005년 02월,0.4871313333787426,0.4553044905437127
2005년 03월,0.48781247263279776,0.45976068245577206
2005년 04월,0.4883476534752697,0.4639115250291036
2005년 05월,0.48780274207202556,0.46603942823336325
2005년 06월,0.48759840029580903,0.46980858413328497
2005년 07월,0.48746217244499795,0.4713544151605946
2005년 08월,0.48865903141998074,0.47436973988053205
2005년 09월,0.49404003152701687,0.4814881963396248
2005년 10월,0.49852582004300905,0.4865837134296456
2005년 11월,0.5001605542527416,0.48863527929922324
2005년 12월,0.5010071130399245,0.48941773697971336
2006년 01월,0.5041111619262618,0.4901715681596977
2006년 02월,0.5077698527766155,0.49293879654191874
2006년 03월,0.5139876811100623,0.49814881963396246
2006년 04월,0.5187556558884489,0.5024809633771636
2006년 05월,0.5213731767361753,0.5060879024408863
2006년 06월,0.5227646469266023,0.506937155289223
2006년 07월,0.5239323142192684,0.5076146491345255
2006년 08월,0.5258978874952563,0.5100574438443481
2006년 09월,0.5326703577927195,0.517414454474322
2006년 10월,0.540347770241999,0.5276627416553751
2006년 11월,0.548900933160778,0.5379873661711102
2006년 12월,0.552618007375765,0.544018015610985
2007년 01월,0.5561599314968522,0.5500391228840245
2007년 02월,0.5594780527201783,0.5541995076241913
2007년 03월,0.5636524632914595,0.5589992175423195
2007년 04월,0.5675154959180297,0.5630260119467928
2007년 05월,0.5686831632106958,0.5630450962804634
2007년 06월,0.569724333213323,0.5632741082845093
2007년 07월,0.5719039788262997,0.5641138189660108
2007년 08월,0.5737819770553376,0.5656405656596499
2007년 09월,0.5782093822066965,0.5690375770529972
2007년 10월,0.5808950169798285,0.5714231187618084
2007년 11월,0.5832400821259329,0.5724441306131797
2007년 12월,0.5841839465208379,0.5729116967881066
2008년 01월,0.5867820062470199,0.5736464436344205
2008년 02월,0.5901682413957516,0.5760892383442432
2008년 03월,0.5969699033755315,0.5817286589438729
2008년 04월,0.6037229125514503,0.5878928987194412
2008년 05월,0.6075275618133873,0.5906124162674861
2008년 06월,0.6124998783679902,0.5946773793393003
2008년 07월,0.6152633576273,0.5975114028893681
2008년 08월,0.6168007862293103,0.5987805110784556
2008년 09월,0.6199242962371921,0.6008416191148686
2008년 10월,0.6202259436211309,0.6013568961239718
2008년 11월,0.6152633576273,0.5963758850359739
2008년 12월,0.6011540445075849,0.584381381324071
2009년 01월,0.5928636067296558,0.5740853833088417
2009년 02월,0.5927468400003891,0.5710318899215634
2009년 03월,0.594576185425566,0.5716998416000305
2009년 04월,0.596726639356226,0.5730643714574706
2009년 05월,0.5986143681460362,0.5754022023321056
2009년 06월,0.6011248528252683,0.5767571900227103
2009년 07월,0.6051533049849662,0.5791522738983569
2009년 08월,0.6099115492025805,0.5834367068073818
2009년 09월,0.6235732565267736,0.594467451668925
2009년 10월,0.6302289600949702,0.5991526555850303
2009년 11월,0.6340141482353627,0.6014809442928299
2009년 12월,0.6357169963705007,0.6010038359510678
2010년 01월,0.6382761338535939,0.6013855226244775
2010년 02월,0.642713269565725,0.6036661004981011
2010년 03월,0.6475201665872004,0.6079219069066204
2010년 04월,0.6508480183712987,0.6117960266417297
2010년 05월,0.652385446973309,0.613828508177637
2010년 06월,0.6535531142659752,0.6150785320330541
2010년 07월,0.6541466784730804,0.6157655680451918
2010년 08월,0.6557619515612684,0.6171682665699727
2010년 09월,0.6599655538148663,0.6219011813202543
2010년 10월,0.6659303875682355,0.6285616137712552
2010년 11월,0.6710486625344217,0.6360331304032519
2010년 12월,0.6748922340394476,0.6397641176358327
2011년 01월,0.6809932956436279,0.6450600202293937
2011년 02월,0.691969368194689,0.6581327887936793
2011년 03월,0.7012912454144732,0.6747838699211817
2011년 04월,0.7069836234662203,0.6860627111204411
2011년 05월,0.7072074263639814,0.6861772171224642
2011년 06월,0.7103601280541797,0.6902612645279489
2011년 07월,0.7161303505921046,0.6958434321265673
2011년 08월,0.7263279782813884,0.7050134544552377
2011년 09월,0.7376348898987048,0.7167980304967652
2011년 10월,0.7440375988868237,0.7241073302925629
2011년 11월,0.7453998773949342,0.7244603904654668
2011년 12월,0.7446895464585624,0.7225805835989236
2012년 01월,0.7441738267376348,0.7240977881257276
